name,make,model,city,year,fueltype,kilometerdriven,ownernumber,transmission,bodytype,storename,isc24assured,registrationcity,registrationstate,benefits,discountprice,price,url,createdDate
Mahindra Scorpio,Mahindra,Scorpio,Indore,2020,Diesel,16382,1,Manual,SUV,Rasoma Square,False,Ujjain,Madhya Pradesh,19407,66300,1488899,https://www.cars24.com/buy-used-mahindra-scorpio-2020-cars-indore-12867590777,2022-06-04
Maruti Alto 800,Maruti,Alto 800,Mumbai,2014,Petrol,28579,2,Manual,Hatchback,Hi-Andheri East,False,Mumbai East,Maharashtra,12542,0,196199,https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-mumbai-10349077771,2022-11-23
Ford Ecosport,Ford,Ecosport,Coimbatore,2018,Petrol,49146,1,Manual,SUV,Hi-Chennai Central,True,Coimbatore,Tamil Nadu,13898,92250,691749,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-coimbatore-1135783601,2021-09-30
Maruti Ertiga,Maruti,Ertiga,Mumbai,2017,Diesel,96779,1,Manual,SUV,Hi-West Mumbai,False,Mumbai,Maharashtra,9688,0,866299,https://www.cars24.com/buy-used-maruti-ertiga-2017-cars-mumbai-10385699763,2022-11-24
Volkswagen Ameo,Volkswagen,Ameo,Faridabad,2018,Petrol,62492,2,Manual,Sedan,New Delhi-Pns,False,New Delhi,Delhi,13898,-23400,427299,https://www.cars24.com/buy-used-volkswagen-ameo-2018-cars-faridabad-10020779791,2022-10-18
Mahindra Scorpio,Mahindra,Scorpio,Panipat,2017,Diesel,52999,1,Manual,SUV,Bata Chowk,True,Faridabad,Haryana,19407,123900,950499,https://www.cars24.com/buy-used-mahindra-scorpio-2017-cars-panipat-1106323524,2021-02-11
Maruti Celerio,Maruti,Celerio,Hyderabad,2015,Petrol,38512,1,Manual,Hatchback,Hi-East 2 Hyd,False,Hyderabad,Telangana,9688,-600,400699,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-hyderabad-10482170795,2022-10-29
Hyundai VENUE,Hyundai,Venue,Bangalore,2021,Petrol,13994,1,Manual,SUV,Hi-North 2 Bengaluru,False,Kolar,Karnataka,13898,52900,867599,https://www.cars24.com/buy-used-hyundai-venue-2021-cars-bangalore-10293694748,2022-09-18
Maruti Zen Estilo,Maruti,Zen Estilo,Mumbai,2011,Petrol,43990,1,Manual,Hatchback,Hi-Thane West - Manpada,False,Thane,Maharashtra,12542,0,170399,https://www.cars24.com/buy-used-maruti-zen-estilo-2011-cars-mumbai-10348877793,2022-11-24
Maruti Swift Dzire,Maruti,Swift Dzire,Mumbai,2013,Petrol,42848,2,Manual,Sedan,Hi-Thane West - Manpada,False,Mumbai East,Maharashtra,9688,0,407699,https://www.cars24.com/buy-used-maruti-swift-dzire-2013-cars-mumbai-10396671799,2022-11-24
Maruti Ritz,Maruti,Ritz,Ghaziabad,2010,Petrol,19023,1,Manual,Hatchback,Hi-Ghaziabad,False,Delhi,Delhi,9688,0,225399,https://www.cars24.com/buy-used-maruti-ritz-2010-cars-ghaziabad-11222379713,2022-11-23
Hyundai Elite i20,Hyundai,Elite I20,Rewari,2017,Diesel,99243,1,Manual,Hatchback,Hi-Rewari,False,Rewari,Haryana,9688,0,606899,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-rewari-29683496708,2022-11-24
Maruti New  Wagon-R,Maruti,New  Wagon-R,New Delhi,2019,Petrol + Cng,98899,1,Manual,Hatchback,Shakti Nagar,False,Delhi,Delhi,9688,0,540899,https://www.cars24.com/buy-used-maruti-new-wagon-r-2019-cars-new-delhi-10080175710,2022-11-24
Hyundai Grand i10,Hyundai,Grand I10,Pune,2016,Petrol,81298,2,Automatic,Hatchback,Hi-Pune,False,Pune,Maharashtra,13898,0,563899,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-pune-10631770752,2022-11-24
Toyota Innova,Toyota,Innova,Jaipur,2012,Diesel,202398,2,Manual,SUV,Sikar Road,True,Sikar,Rajasthan,19407,106000,517199,https://www.cars24.com/buy-used-toyota-innova-2012-cars-jaipur-1070234103,2021-10-18
SKODA SLAVIA,Skoda,Slavia,Ludhiana,2022,Petrol,1805,1,,,Hi-Zirakpur - Garg Auto Zone,False,Rajpura,Punjab,9688,76300,1469199,https://www.cars24.com/buy-used-skoda-slavia-2022-cars-ludhiana-14800496722,2022-08-21
Hyundai Elite i20,Hyundai,Elite I20,Faridabad,2014,Petrol,85485,2,Manual,Hatchback,Hi-Faridabad,False,New Delhi,Delhi,13898,0,499899,https://www.cars24.com/buy-used-hyundai-elite-i20-2014-cars-faridabad-11039371719,2022-11-24
Maruti Alto 800,Maruti,Alto 800,Mumbai,2016,Petrol,61759,1,Manual,Hatchback,Mumbai-Pns,False,Vasai,Maharashtra,12542,0,306699,https://www.cars24.com/buy-used-maruti-alto-800-2016-cars-mumbai-10315672770,2022-11-25
Ford Ecosport,Ford,Ecosport,New Delhi,2016,Petrol,80485,1,Manual,SUV,Hi-East Delhi,False,Delhi,Delhi,13898,-2900,581499,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-new-delhi-10041899726,2022-11-24
